stop_name,stop_lat,stop_lon
"Nützen, Onkel Toms Hütte",53.846792799999996,9.886861500000002
Elbschloßstraße (Seegerichtshof),53.548967499999996,9.853339
"Bevern, Schmiedekamp",53.7563275,9.770695199999999
Vogelhüttendeich,53.51643180000001,9.9926222
Feuerwehrakademie Hamburg,53.526599999999995,10.0796
Pflegezentrum Lutherpark,53.5727726,9.9063081
Wasserturm,53.619730999999994,10.050211
Hohenwischer Str. 149,53.508120299999995,9.864861999999999
Alveslohe Denkmal,53.7868266,9.9144538
"Appen, Schule",53.6613593,9.7359067
"Stapelfeld, Am Ecksoll (Schule)",53.601449599999995,10.2129929
Pulverhofsweg,53.598736099999996,10.1229438
Vietinghoffweg,53.634186799999995,9.941397799999999
"Schmalenbeck, Papenwisch",53.6462685,10.2787385
Aurubis Werk Ost,53.5152949,10.0344439
"Neritz, Rötenweg",53.784833,10.284588999999999
"Rohlfshagen, An de Sylsbek",53.7641029,10.354740999999999
"Witzhave, Granderheider Weg",53.573909,10.356002199999999
Hinter der Dorfkirche,53.490372,10.0084395
Stutsmoor,53.57271000000001,9.88649
Bredenbekstraße,53.692810099999996,10.1317024
Niendorf Nord,53.6405841,9.9502512
Haldesdorfer Straße (Nord),53.607381,10.089822
"Braak, Braaker Bogen",53.6179743,10.2375261
Halskestraße (Mitte),53.52035,10.08448
U Großhansdorf,53.6619445,10.287072
IKEA Moorfleet,53.5114381,10.0961397
Kaltenkirchen Luise-Otto-Weg,53.841899899999994,9.959864999999999
"Fredesdorf, Schulstraße",53.8746585,10.2030703
"Großensee, Kamphöhe",53.611549499999995,10.338560500000002
"Holm, Schulstraße",53.6209254,9.6725775
"Lutzhorn, Im Dorf/Reihe",53.827279999999995,9.783090000000001
Tatenberger Damm,53.492505699999995,10.0679512
Nienstedtener Marktplatz,53.553384099999995,9.8447706
Stuvenborn Segeberger Straße,53.855078,10.1301275
Alveslohe,53.79146,9.91638
